genre,sold by,daily average.amazon revenue,daily average.author revenue,daily average.gross sales,daily average.publisher revenue,daily average.units sold,publisher.name,publisher.type,statistics.average rating,statistics.sale price,statistics.sales rank,statistics.total reviews,PublisherId
genre fiction,"Amazon Digital Services,  Inc.",7606.7355,4095.9345,11702.67,0,2933,Amazon Publishing,amazon,4.43,3.99,21,2747,21
genre fiction,"Amazon Digital Services,  Inc.",2570.802,5998.538,8569.34,0,2866,(Indie Publisher),indie,4.55,2.99,22,640,22
genre fiction,"Amazon Digital Services,  Inc.",1801.8,970.2,2772,0,2800,(Indie Publisher),indie,4.38,0.99,23,149,23
genre fiction,"Amazon Digital Services,  Inc.",2451.501,5720.169,8171.67,0,2733,(Indie Publisher),indie,4.02,2.99,24,231,24
genre fiction,"Amazon Digital Services,  Inc.",527.868,527.868,2639.34,1583.604,2666,(Single-Author Publisher),single author,4.36,0.99,25,611,25
genre fiction,"Amazon Digital Services,  Inc.",2332.2,5441.8,7774,0,2600,(Indie Publisher),indie,4.62,2.99,26,229,26
genre fiction,Penguin Group (USA) LLC,5380.812,5380.812,26904.06,16142.436,2466,Viking Adult,big five,4.4,10.91,28,701,27
genre fiction,"Amazon Digital Services,  Inc.",1544.4,831.6,2376,0,2400,(Indie Publisher),indie,4.71,0.99,29,84,28
nonfiction,Hachette Book Group,1915.2,1915.2,9576,5745.6,2400,"Little, Brown and Company",big five,4.63,3.99,29,5369,29
genre fiction,"Amazon Digital Services,  Inc.",2792.601,6516.069,9308.67,0,2333,(Indie Publisher),indie,4.67,3.99,30,129,30
genre fiction,"Amazon Digital Services,  Inc.",2931.071,1578.269,4509.34,0,2266,Montlake Romance,amazon,4.25,1.99,31,111,31
genre fiction,"Amazon Digital Services,  Inc.",1415.7,762.3,2178,0,2200,(Indie Publisher),indie,4.67,0.99,32,161,32
genre fiction,HarperCollins Publishers,2635.6,2635.6,13178,7906.8,2200,William Morrow,big five,4.19,5.99,32,308,33
nonfiction,HarperCollins Publishers,409.068,409.068,2045.34,1227.204,2066,HarperPerennial Classics,big five,4.62,0.99,34,1490,34
genre fiction,Random House LLC,3596,3596,17980,10788,2000,Crown,big five,3.77,8.99,35,16062,35
genre fiction,"Amazon Digital Services,  Inc.",1276.704,687.456,1964.16,0,1984,(Indie Publisher),indie,4.34,0.99,36,1684,36
genre fiction,"Amazon Digital Services,  Inc.",392.832,392.832,1964.16,1178.496,1984,(Single-Author Publisher),single author,4.53,0.99,36,66,37
genre fiction,"Amazon Digital Services,  Inc.",1267.0515,682.2585,1949.31,0,1969,(Indie Publisher),indie,4.85,0.99,37,14,38
genre fiction,"Amazon Digital Services,  Inc.",1267.0515,682.2585,1949.31,0,1969,(Indie Publisher),indie,4.67,0.99,37,28,39
genre fiction,Random House LLC,4061.91,4061.91,20309.55,12185.73,1907,Random House,big five,4.31,10.65,41,66,40
genre fiction,"Amazon Digital Services,  Inc.",1217.502,655.578,1873.08,0,1892,(Indie Publisher),indie,4.28,0.99,42,76,41
genre fiction,"Amazon Digital Services,  Inc.",2245.572,5239.668,7485.24,0,1876,(Indie Publisher),indie,4.28,3.99,43,5498,42
genre fiction,"Amazon Digital Services,  Inc.",740.678,740.678,3703.39,2222.034,1861,(Single-Author Publisher),single author,4.4,1.99,44,75,43
genre fiction,HarperCollins Publishers,2211.508,2211.508,11057.54,6634.524,1846,HarperCollins e-books,big five,4.02,5.99,45,104,44
genre fiction,"Amazon Digital Services,  Inc.",2558.34,2558.34,12791.7,7675.02,1830,(Small or Medium Publisher),small/medium,4.19,6.99,46,13962,45
genre fiction,"Amazon Digital Services,  Inc.",5838.3,3143.7,8982,0,1800,47North,amazon,4.12,4.99,48,141,46
nonfiction,"Amazon Digital Services,  Inc.",716.4,716.4,3582,2149.2,1800,(Small or Medium Publisher),small/medium,4.12,1.99,48,33,47
nonfiction,"Amazon Digital Services,  Inc.",353.232,353.232,1766.16,1059.696,1784,(Single-Author Publisher),single author,5,0.99,49,9,48
genre fiction,Penguin Group (USA) LLC,2119.262,2119.262,10596.31,6357.786,1769,Putnam Adult,big five,4.28,5.99,50,1364,49
genre fiction,Hachette Book Group,3011.654,3011.654,15058.27,9034.962,1753,"Little, Brown and Company",big five,4.56,8.59,51,157,50
genre fiction,"Amazon Digital Services,  Inc.",344.124,344.124,1720.62,1032.372,1738,(Small or Medium Publisher),small/medium,4.92,0.99,52,42,51
genre fiction,Random House LLC,341.154,341.154,1705.77,1023.462,1723,Loveswept,big five,4.21,0.99,53,41,52
genre fiction,"Amazon Digital Services,  Inc.",5536.6545,2981.2755,8517.93,0,1707,Montlake Romance,amazon,4.52,4.99,54,258,53
genre fiction,Macmillan,335.016,335.016,1675.08,1005.048,1692,Entangled: Brazen,big five,4.59,0.99,55,114,54
genre fiction,"Amazon Digital Services,  Inc.",2006.172,4681.068,6687.24,0,1676,(Indie Publisher),indie,4.95,3.99,56,310,55
genre fiction,Penguin Group (USA) LLC,993.278,993.278,4966.39,2979.834,1661,Berkley,big five,4.26,2.99,57,2028,56
genre fiction,"Amazon Digital Services,  Inc.",325.908,325.908,1629.54,977.724,1646,(Small or Medium Publisher),small/medium,3.86,0.99,58,38,57
genre fiction,Penguin Group (USA) LLC,3556.66,3556.66,17783.3,10669.98,1630,Dutton Adult,big five,4.44,10.91,59,354,58
genre fiction,"Amazon Digital Services,  Inc.",1048.905,564.795,1613.7,0,1630,(Indie Publisher),indie,4.79,0.99,59,339,59
genre fiction,Hachette Book Group,3678.97,3678.97,18394.85,11036.91,1615,"Little, Brown and Company",big five,4.45,11.39,60,1603,60
genre fiction,Random House LLC,2076.8,2076.8,10384,6230.4,1600,Bantam,big five,4,6.49,61,2659,61
genre fiction,"Amazon Digital Services,  Inc.",1896.048,4424.112,6320.16,0,1584,(Indie Publisher),indie,4.61,3.99,62,505,62
genre fiction,"Amazon Digital Services,  Inc.",1412.1,3294.9,4707,0,1569,(Indie Publisher),indie,4.67,3,63,199,63
genre fiction,"Amazon Digital Services,  Inc.",989.703,532.917,1522.62,0,1538,(Indie Publisher),indie,4.87,0.99,65,32,64
genre fiction,"Amazon Digital Services,  Inc.",1777.341,4147.129,5924.47,0,1523,(Indie Publisher),indie,4.48,3.89,66,1257,65
genre fiction,"Amazon Digital Services,  Inc.",7826.6045,4214.3255,12040.93,0,1507,AmazonEncore,amazon,4.25,7.99,67,3965,66
genre fiction,Hachette Book Group,2682.616,2682.616,13413.08,8047.848,1492,Grand Central Publishing,big five,4.32,8.99,68,1402,67
genre fiction,"Amazon Digital Services,  Inc.",1889.8035,1017.5865,2907.39,0,1461,(Indie Publisher),indie,4.64,1.99,70,45,68
genre fiction,Penguin Group (USA) LLC,2310.708,2310.708,11553.54,6932.124,1446,Berkley,big five,3.55,7.99,71,45,69
genre fiction,"Amazon Digital Services,  Inc.",3708.705,1996.995,5705.7,0,1430,Skyscape,amazon,4.38,3.99,72,18,70
genre fiction,Penguin Group (USA) LLC,1978.17,1978.17,9890.85,5934.51,1415,Penguin Books,big five,4.66,6.99,73,2851,71
genre fiction,Hachette Book Group,1049.072,1049.072,5245.36,3147.216,1384,Forever,big five,4.33,3.79,75,116,72
nonfiction,"Amazon Digital Services,  Inc.",1165.328,1165.328,5826.64,3495.984,1384,(Single-Author Publisher),single author,4.33,4.21,75,86,73
genre fiction,Hachette Book Group,544.862,544.862,2724.31,1634.586,1369,Grand Central Publishing,big five,4.61,1.99,76,18,74
genre fiction,Hachette Book Group,1092.462,1092.462,5462.31,3277.386,1369,Forever,big five,4.53,3.99,76,145,75
genre fiction,"Amazon Digital Services,  Inc.",4388.4555,2363.0145,6751.47,0,1353,47North,amazon,4.28,4.99,77,1180,76
genre fiction,"Amazon Digital Services,  Inc.",2002.986,4673.634,6676.62,0,1338,(Indie Publisher),indie,4.51,4.99,78,1230,77
genre fiction,"Amazon Digital Services,  Inc.",261.954,261.954,1309.77,785.862,1323,(Single-Author Publisher),single author,3.5,0.99,79,36,78
genre fiction,HarperCollins Publishers,1186.756,1186.756,5933.78,3560.268,1307,William Morrow Paperbacks,big five,4.62,4.54,80,78,79
genre fiction,Hachette Book Group,1696.486,1696.486,8482.43,5089.458,1307,Grand Central Publishing,big five,4.57,6.49,80,3156,80
genre fiction,Random House LLC,1289.416,1289.416,6447.08,3868.248,1292,Vintage,big five,3.38,4.99,81,23362,81
nonfiction,HarperCollins Publishers,507.848,507.848,2539.24,1523.544,1276,HarperCollins e-books,big five,4.65,1.99,82,140,82
genre fiction,"Amazon Digital Services,  Inc.",1472.31,3435.39,4907.7,0,1230,(Indie Publisher),indie,4.64,3.99,85,251,83
genre fiction,"Amazon Digital Services,  Inc.",781.8525,420.9975,1202.85,0,1215,(Indie Publisher),indie,4.67,0.99,86,98,84
genre fiction,HarperCollins Publishers,483.57,483.57,2417.85,1450.71,1215,HarperCollins e-books,big five,4.03,1.99,86,637,85
genre fiction,"Amazon Digital Services,  Inc.",772.2,415.8,1188,0,1200,(Indie Publisher),indie,4.83,0.99,87,6,86
fiction,"Amazon Digital Services,  Inc.",1552.2,835.8,2388,0,1200,AmazonEncore,amazon,4.3,1.99,87,1760,87
genre fiction,Macmillan,471.232,471.232,2356.16,1413.696,1184,St. Martin's Press,big five,4.41,1.99,88,882,88
genre fiction,"Amazon Digital Services,  Inc.",231.462,231.462,1157.31,694.386,1169,(Small or Medium Publisher),small/medium,4.76,0.99,89,34,89
genre fiction,"Amazon Digital Services,  Inc.",231.462,231.462,1157.31,694.386,1169,(Small or Medium Publisher),small/medium,4.33,0.99,89,21,90
genre fiction,"Amazon Digital Services,  Inc.",722.6505,389.1195,1111.77,0,1123,(Indie Publisher),indie,4.5,0.99,92,63,91
genre fiction,"Amazon Digital Services,  Inc.",1120.754,1120.754,5603.77,3362.262,1123,(Small or Medium Publisher),small/medium,4.64,4.99,92,19837,92
genre fiction,Macmillan,440.586,440.586,2202.93,1321.758,1107,St. Martin's Press,big five,4.06,1.99,93,1060,93
genre fiction,Random House LLC,1396.648,1396.648,6983.24,4189.944,1076,Doubleday,big five,3.91,6.49,95,13060,94
genre fiction,Random House LLC,1377.178,1377.178,6885.89,4131.534,1061,Bantam,big five,4.16,6.49,96,1223,95
nonfiction,"Amazon Digital Services,  Inc.",207.108,207.108,1035.54,621.324,1046,(Small or Medium Publisher),small/medium,4.27,0.99,97,81,96
genre fiction,"Amazon Digital Services,  Inc.",662.805,356.895,1019.7,0,1030,(Indie Publisher),indie,4.62,0.99,98,381,97
genre fiction,"Amazon Digital Services,  Inc.",1823.955,4255.895,6079.85,0,1015,(Indie Publisher),indie,4.58,5.99,99,168,98
genre fiction,Penguin Group (USA) LLC,1386.49,1386.49,6932.45,4159.47,1015,Razorbill,big five,4.45,6.83,99,722,99
genre fiction,"Amazon Digital Services,  Inc.",640.2825,344.7675,985.05,0,995,(Indie Publisher),indie,4.45,0.99,101,507,100
genre fiction,Penguin Group (USA) LLC,1013.76,1013.76,5068.8,3041.28,990,Berkley,big five,4.73,5.12,102,288,101
fiction,"Amazon Digital Services,  Inc.",439.04,439.04,2195.2,1317.12,980,(Small or Medium Publisher),small/medium,3.62,2.24,104,224,102
genre fiction,Hachette Book Group,1462.5,1462.5,7312.5,4387.5,975,"Little, Brown and Company",big five,3.6,7.5,105,2062,103
genre fiction,"Amazon Digital Services,  Inc.",624.195,336.105,960.3,0,970,(Indie Publisher),indie,4,0.99,106,3,104
genre fiction,Penguin Group (USA) LLC,2044.8,2044.8,10224,6134.4,960,Berkley,big five,4.58,10.65,108,36,105
genre fiction,Penguin Group (USA) LLC,1534.08,1534.08,7670.4,4602.24,960,Berkley,big five,0,7.99,108,0,106
genre fiction,"Amazon Digital Services,  Inc.",1222.3575,658.1925,1880.55,0,945,Montlake Romance,amazon,4.38,1.99,111,93,107
genre fiction,Macmillan,938.12,938.12,4690.6,2814.36,940,St. Martin's Press,big five,4.37,4.99,112,901,108
genre fiction,Penguin Group (USA) LLC,746.13,746.13,3730.65,2238.39,935,InterMix,big five,4,3.99,113,208,109
genre fiction,"Amazon Digital Services,  Inc.",1202.955,647.745,1850.7,0,930,(Indie Publisher),indie,4.19,1.99,114,87,110
genre fiction,"Amazon Digital Services,  Inc.",1196,1196,5980,3588,920,(Small or Medium Publisher),small/medium,4.64,6.5,116,13290,111
genre fiction,Random House LLC,181.17,181.17,905.85,543.51,915,Loveswept,big five,4.33,0.99,117,24,112
fiction,"Amazon Digital Services,  Inc.",1551.84,1551.84,7759.2,4655.52,915,(Small or Medium Publisher),small/medium,3.82,8.48,117,388,113
genre fiction,"Amazon Digital Services,  Inc.",585.585,315.315,900.9,0,910,(Indie Publisher),indie,4.84,0.99,118,197,114
genre fiction,"Amazon Digital Services,  Inc.",179.19,179.19,895.95,537.57,905,(Single-Author Publisher),single author,4.68,0.99,119,219,115
genre fiction,"Amazon Digital Services,  Inc.",579.15,311.85,891,0,900,(Indie Publisher),indie,4.3,0.99,120,20,116
nonfiction,Macmillan,1168.2,1168.2,5841,3504.6,900,Henry Holt and Co.,big five,4.32,6.49,120,4549,117
nonfiction,Random House LLC,2146.21,2146.21,10731.05,6438.63,895,Knopf,big five,4.24,11.99,121,384,118
genre fiction,"Amazon Digital Services,  Inc.",798.33,1862.77,2661.1,0,890,(Indie Publisher),indie,5,2.99,122,39,119
fiction,HarperCollins Publishers,354.22,354.22,1771.1,1062.66,890,HarperCollins e-books,big five,4.23,1.99,122,152,120
genre fiction,"Amazon Digital Services,  Inc.",1059.345,2471.805,3531.15,0,885,(Indie Publisher),indie,4.61,3.99,123,218,121
genre fiction,Simon and Schuster Digital Sales Inc,1305,1305,6525,3915,870,Scribner,big five,4.58,7.5,126,4938,122
genre fiction,"Amazon Digital Services,  Inc.",1035.405,2415.945,3451.35,0,865,(Indie Publisher),indie,4.49,3.99,127,100,123
genre fiction,Random House LLC,1374.28,1374.28,6871.4,4122.84,860,Vintage,big five,4.29,7.99,128,9263,124
genre fiction,"Amazon Digital Services,  Inc.",168.3,168.3,841.5,504.9,850,(Single-Author Publisher),single author,0,0.99,130,0,125
genre fiction,Hachette Book Group,2026.31,2026.31,10131.55,6078.93,845,"Little, Brown and Company",big five,4.34,11.99,131,20,126
genre fiction,Random House LLC,1342.32,1342.32,6711.6,4026.96,840,Vintage,big five,4.28,7.99,132,9263,127
genre fiction,"Amazon Digital Services,  Inc.",530.8875,285.8625,816.75,0,825,(Indie Publisher),indie,4.04,0.99,135,234,128
nonfiction,HarperCollins Publishers,328.35,328.35,1641.75,985.05,825,Harper,big five,4.31,1.99,135,271,129
nonfiction,Random House LLC,1139.37,1139.37,5696.85,3418.11,815,Random House,big five,4.77,6.99,137,6544,130
genre fiction,"Amazon Digital Services,  Inc.",726.57,1695.33,2421.9,0,810,(Indie Publisher),indie,4.77,2.99,138,61,131
genre fiction,Penguin Group (USA) LLC,1714.65,1714.65,8573.25,5143.95,805,Putnam Adult,big five,4.16,10.65,139,251,132
genre fiction,"Amazon Digital Services,  Inc.",957.6,2234.4,3192,0,800,(Indie Publisher),indie,4.78,3.99,140,1325,133
genre fiction,"Amazon Digital Services,  Inc.",158.4,158.4,792,475.2,800,(Small or Medium Publisher),small/medium,4.87,0.99,140,221,134
genre fiction,"Amazon Digital Services,  Inc.",951.615,2220.435,3172.05,0,795,(Indie Publisher),indie,4.79,3.99,141,78,135
nonfiction,"Amazon Digital Services,  Inc.",314.42,314.42,1572.1,943.26,790,(Small or Medium Publisher),small/medium,3.4,1.99,142,5,136
genre fiction,Penguin Group (USA) LLC,1882.43,1882.43,9412.15,5647.29,785,Putnam Adult,big five,0,11.99,143,0,137
genre fiction,"Amazon Digital Services,  Inc.",933.66,2178.54,3112.2,0,780,(Indie Publisher),indie,5,3.99,144,31,138
genre fiction,Simon and Schuster Digital Sales Inc,1653.85,1653.85,8269.25,4961.55,775,Margaret K. McElderry Books,big five,0,10.67,145,0,139
genre fiction,HarperCollins Publishers,302.48,302.48,1512.4,907.44,760,HarperCollins e-books,big five,4.04,1.99,148,305,140
genre fiction,"Amazon Digital Services,  Inc.",903.735,2108.715,3012.45,0,755,(Indie Publisher),indie,4.69,3.99,149,225,141
genre fiction,"Amazon Digital Services,  Inc.",2432.625,1309.875,3742.5,0,750,Montlake Romance,amazon,4.1,4.99,150,683,142
genre fiction,"Amazon Digital Services,  Inc.",1945.125,1047.375,2992.5,0,750,Amazon Publishing,amazon,4.28,3.99,150,1206,143
genre fiction,Random House LLC,743.51,743.51,3717.55,2230.53,745,Dell,big five,4.14,4.99,151,6312,144
genre fiction,Macmillan,590.52,590.52,2952.6,1771.56,740,Tor Books,big five,4.56,3.99,152,7381,145
genre fiction,"Amazon Digital Services,  Inc.",472.9725,254.6775,727.65,0,735,(Indie Publisher),indie,3.72,0.99,153,81,146
genre fiction,"Amazon Digital Services,  Inc.",2367.755,1274.945,3642.7,0,730,Montlake Romance,amazon,4.35,4.99,154,119,147
genre fiction,Random House LLC,1088.95,1088.95,5444.75,3266.85,725,Broadway Books,big five,4.17,7.51,155,1998,148
genre fiction,"Amazon Digital Services,  Inc.",463.32,249.48,712.8,0,720,(Indie Publisher),indie,4.31,0.99,156,203,149
genre fiction,"Amazon Digital Services,  Inc.",456.885,246.015,702.9,0,710,(Indie Publisher),indie,4.29,0.99,158,1106,150
genre fiction,"Amazon Digital Services,  Inc.",139.59,139.59,697.95,418.77,705,(Small or Medium Publisher),small/medium,4.17,0.99,159,204,151
genre fiction,Hachette Book Group,1118.6,1118.6,5593,3355.8,700,Reagan Arthur Books,big five,3.6,7.99,160,1783,152
genre fiction,HarperCollins Publishers,270.64,270.64,1353.2,811.92,680,HarperCollins e-books,big five,4.34,1.99,164,102,153
nonfiction,"Amazon Digital Services,  Inc.",133.65,133.65,668.25,400.95,675,(Small or Medium Publisher),small/medium,4.11,0.99,165,9,154
genre fiction,"Amazon Digital Services,  Inc.",735.66,735.66,3678.3,2206.98,670,(Small or Medium Publisher),small/medium,4.35,5.49,166,14,155
genre fiction,"Amazon Digital Services,  Inc.",131.67,131.67,658.35,395.01,665,(Small or Medium Publisher),small/medium,4.42,0.99,167,101,156
genre fiction,Random House LLC,1562.88,1562.88,7814.4,4688.64,660,Ballantine Books,big five,0,11.84,168,0,157
genre fiction,"Amazon Digital Services,  Inc.",421.4925,226.9575,648.45,0,655,(Indie Publisher),indie,4.5,0.99,169,10,158
genre fiction,Random House LLC,1963.69,1963.69,9818.45,5891.07,655,Vintage,big five,4.3,14.99,169,8339,159
genre fiction,"Amazon Digital Services,  Inc.",2108.275,1135.225,3243.5,0,650,Skyscape,amazon,4.42,4.99,170,1505,160
genre fiction,"Amazon Digital Services,  Inc.",583.05,1360.45,1943.5,0,650,(Indie Publisher),indie,4.29,2.99,170,96,161
genre fiction,"Amazon Digital Services,  Inc.",2092.0575,1126.4925,3218.55,0,645,47North,amazon,4.65,4.99,171,89,162
genre fiction,Random House LLC,894.72,894.72,4473.6,2684.16,640,Delacorte Press,big five,4.24,6.99,172,3806,163
genre fiction,Simon and Schuster Digital Sales Inc,1132.74,1132.74,5663.7,3398.22,630,Scribner,big five,4.41,8.99,174,5195,164
genre fiction,"Amazon Digital Services,  Inc.",395.7525,213.0975,608.85,0,615,(Indie Publisher),indie,4.5,0.99,177,20,165
genre fiction,"Amazon Digital Services,  Inc.",120.78,120.78,603.9,362.34,610,(Small or Medium Publisher),small/medium,4.63,0.99,178,22,166
genre fiction,"Amazon Digital Services,  Inc.",786.5,423.5,1210,0,605,Skyscape,amazon,4.11,2,179,1033,167
genre fiction,"Amazon Digital Services,  Inc.",386.1,207.9,594,0,600,(Indie Publisher),indie,4.26,0.99,180,351,168
genre fiction,"Amazon Digital Services,  Inc.",1062.075,2478.175,3540.25,0,595,(Indie Publisher),indie,4.68,5.95,181,76,169
genre fiction,Penguin Group (USA) LLC,712.81,712.81,3564.05,2138.43,595,Berkley,big five,4.94,5.99,181,116,170
genre fiction,"Amazon Digital Services,  Inc.",234.82,234.82,1174.1,704.46,590,(Small or Medium Publisher),small/medium,4.69,1.99,182,56,171
genre fiction,Macmillan,1040.13,1040.13,5200.65,3120.39,585,Feiwel & Friends,big five,4.89,8.89,183,37,172
genre fiction,"Amazon Digital Services,  Inc.",370.0125,199.2375,569.25,0,575,(Indie Publisher),indie,4.24,0.99,185,33,173
genre fiction,"Amazon Digital Services,  Inc.",737.295,397.005,1134.3,0,570,(Indie Publisher),indie,3.91,1.99,186,268,174
genre fiction,"Amazon Digital Services,  Inc.",497.835,1161.615,1659.45,0,555,(Indie Publisher),indie,3.94,2.99,189,37,175
genre fiction,Penguin Group (USA) LLC,886.89,886.89,4434.45,2660.67,555,Riverhead,big five,4.15,7.99,189,5042,176
nonfiction,"Amazon Digital Services,  Inc.",108.9,108.9,544.5,326.7,550,(Small or Medium Publisher),small/medium,4.62,0.99,190,1490,177
genre fiction,"Amazon Digital Services,  Inc.",347.49,187.11,534.6,0,540,(Indie Publisher),indie,4.9,0.99,192,11,178
genre fiction,"Amazon Digital Services,  Inc.",646.38,1508.22,2154.6,0,540,(Indie Publisher),indie,4.75,3.99,192,68,179
nonfiction,Random House LLC,319.93,319.93,1599.65,959.79,535,Broadway Books,big five,4.46,2.99,193,1980,180
genre fiction,Macmillan,104.94,104.94,524.7,314.82,530,Entangled: Brazen,big five,4.5,0.99,194,100,181
nonfiction,"Amazon Digital Services,  Inc.",204.97,204.97,1024.85,614.91,515,(Small or Medium Publisher),small/medium,4.51,1.99,197,29,182
genre fiction,"Amazon Digital Services,  Inc.",457.47,1067.43,1524.9,0,510,(Indie Publisher),indie,4.27,2.99,198,36,183
genre fiction,"Amazon Digital Services,  Inc.",402.99,402.99,2014.95,1208.97,505,(Single-Author Publisher),single author,4.5,3.99,199,90,184
genre fiction,Penguin Group (USA) LLC,1086.636,1086.636,5433.18,3259.908,498,Viking Adult,big five,4.41,10.91,201,702,185
genre fiction,"Amazon Digital Services,  Inc.",444.912,1038.128,1483.04,0,496,(Indie Publisher),indie,4.4,2.99,202,42,186
genre fiction,HarperCollins Publishers,590.182,590.182,2950.91,1770.546,491,Avon,big five,4.47,6.01,205,153,187
genre fiction,Hachette Book Group,489.02,489.02,2445.1,1467.06,490,Grand Central Publishing,big five,4.38,4.99,206,3083,188
genre fiction,"Amazon Digital Services,  Inc.",96.624,96.624,483.12,289.872,488,(Small or Medium Publisher),small/medium,4.43,0.99,207,76,189
fiction,Penguin Group (USA) LLC,521.184,521.184,2605.92,1563.552,488,Speak,big five,4.47,5.34,207,1264,190
genre fiction,Penguin Group (USA) LLC,1053.906,1053.906,5269.53,3161.718,483,Putnam Adult,big five,4.33,10.91,210,165,191
nonfiction,HarperCollins Publishing,411.516,411.516,2057.58,1234.548,483,Zondervan,big five,0,4.26,210,0,192
genre fiction,"Amazon Digital Services,  Inc.",309.5235,166.6665,476.19,0,481,(Indie Publisher),indie,4.95,0.99,211,86,193
genre fiction,"Amazon Digital Services,  Inc.",95.04,95.04,475.2,285.12,480,(Single-Author Publisher),single author,4.63,0.99,212,65,194
genre fiction,"Amazon Digital Services,  Inc.",428.766,1000.454,1429.22,0,478,(Indie Publisher),indie,4.88,2.99,213,17,195
genre fiction,Random House LLC,1050.644,1050.644,5253.22,3151.932,478,Ballantine Books,big five,0,10.99,213,0,196
genre fiction,"Amazon Digital Services,  Inc.",426.972,996.268,1423.24,0,476,(Indie Publisher),indie,4.93,2.99,214,188,197
genre fiction,Hachette Book Group,475.048,475.048,2375.24,1425.144,476,Forever,big five,4.64,4.99,214,48,198
genre fiction,"Amazon Digital Services,  Inc.",305.6625,164.5875,470.25,0,475,(Indie Publisher),indie,4.18,0.99,215,631,199
genre fiction,"Amazon Digital Services,  Inc.",94.05,94.05,470.25,282.15,475,(Single-Author Publisher),single author,4.52,0.99,215,65,200
genre fiction,"Amazon Digital Services,  Inc.",419.796,979.524,1399.32,0,468,(Indie Publisher),indie,4.85,2.99,219,382,201
genre fiction,"Amazon Digital Services,  Inc.",299.871,161.469,461.34,0,466,(Indie Publisher),indie,4.85,0.99,220,7,202
genre fiction,"Amazon Digital Services,  Inc.",418.002,975.338,1393.34,0,466,(Indie Publisher),indie,4.3,2.99,220,72,203
genre fiction,Macmillan,92.07,92.07,460.35,276.21,465,Entangled: Brazen,big five,4.64,0.99,221,73,204
genre fiction,Random House LLC,91.08,91.08,455.4,273.24,460,Bantam,big five,4.47,0.99,224,629,205
genre fiction,"Amazon Digital Services,  Inc.",296.01,159.39,455.4,0,460,(Indie Publisher),indie,4.62,0.99,224,77,206
genre fiction,"Amazon Digital Services,  Inc.",2368.236,1275.204,3643.44,0,456,Amazon Publishing,amazon,4.18,7.99,226,1705,207
genre fiction,"Amazon Digital Services,  Inc.",363.09,363.09,1815.45,1089.27,455,(Small or Medium Publisher),small/medium,3.97,3.99,227,201,208
